calendar,techweek_id,calendar_block_id,partiful_id,rerank_id,entry_type,status,category,start,end,actual_start,actual_end,title,location,venue_query,venue_precision,route_mode,travel_minutes,route_details,subway_segments,transit_risk,note,rank,tier,opportunity_score,event_url
schedule,TW-5978,TW-5978-SCHEDULE,OF1vP5L8dtXKRtInyWKs,5978,event,applied,primary,2026-06-01 18:00,2026-06-01 21:00,2026-06-01 18:00,2026-06-01 21:00,[TW-5978] [PENDING] Open Source Must Win,Lower East Side,"Delancey St Essex St, New York, NY",approx_neighborhood_hidden,,,,,,"If this is not approved, use registered backup NYC B2B at Skinos instead. Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=2; plusOne=TBD.",37,A,64,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds
reference,TW-4200,TW-4200-REFERENCE,oQvmxTsHOVayx47ok3li,4200,event,registered,backup,2026-06-01 18:30,2026-06-01 20:00,2026-06-01 18:30,2026-06-01 20:00,[TW-4200] [REG BACKUP] NYC B2B: AI Founders & Investors Mixer,"Skinos, 123 Washington St, New York, NY","Skinos, 123 Washington St, New York, NY",exact_from_signup_status,,,,,,Registered backup near FiDi. Use if Open Source Must Win is not approved or is too low signal in practice. Registered; monitor for updates Submitted via Partiful API; rsvpStatus=GOING; count=2; plusOne=TBD.,169,B,54,https://partiful.com/e/oQvmxTsHOVayx47ok3li?c=0hT1WkMm
schedule,TW-5978,TW-20260601-TRAVEL-HOME,OF1vP5L8dtXKRtInyWKs,,travel,registered,travel,2026-06-01 21:00,2026-06-01 21:35,2026-06-01 21:00,2026-06-01 21:35,[TW-20260601-TRAVEL-HOME] Open Source Must Win -> FiDi home base,Open Source Must Win -> FiDi home base,Open Source Must Win -> FiDi home base,,walk,35,Walk approx 35 min / 2751 m using OSM-geocoded points.,,,,,,,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds
schedule,TW-4551,TW-4551-TRAVEL-IN,M7pXmV8sOXT11yHb9pKw,,travel,registered,travel,2026-06-02 11:13,2026-06-02 12:00,2026-06-02 11:13,2026-06-02 12:00,[TW-4551-TRAVEL-IN] FiDi home base -> How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing,FiDi home base -> Midtown,FiDi home base -> Midtown,,subway+walk,47,Walk 0 min to Wall St (2/3); subway 40 min; walk 2 min from 42 St-Bryant Pk (B/D/F/M); includes 5 min buffer.,2 Wall St to Times Sq-42 St; R Times Sq-42 St to 46 St; F 46 St to 42 St-Bryant Pk,Minor delays possible,,,,,https://partiful.com/e/M7pXmV8sOXT11yHb9pKw
reference,TW-4551,TW-4551-REFERENCE,M7pXmV8sOXT11yHb9pKw,4551,event,applied,primary,2026-06-02 12:00,2026-06-02 13:45,2026-06-02 12:00,2026-06-02 13:45,[TW-4551] [PENDING PRIMARY] How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing,Midtown,"Bryant Park, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,33,A,68,https://partiful.com/e/M7pXmV8sOXT11yHb9pKw
schedule,TW-4551,TW-4551-SCHEDULE,M7pXmV8sOXT11yHb9pKw,4551,event,applied,primary,2026-06-02 12:00,2026-06-02 13:45,2026-06-02 12:00,2026-06-02 13:45,[TW-4551] [PENDING] How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing,Midtown,"Bryant Park, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,33,A,68,https://partiful.com/e/M7pXmV8sOXT11yHb9pKw
reference,TW-4341,TW-4341-REFERENCE,bn5h1g13xzOV6R5XkLaE,4341,event,applied,primary,2026-06-02 16:00,2026-06-02 17:30,2026-06-02 16:00,2026-06-02 17:30,[TW-4341] [PENDING PRIMARY] From Copilot to Control Plane - Visdom,Midtown,"Bryant Park, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,1,S,100,https://partiful.com/e/bn5h1g13xzOV6R5XkLaE
reference,TW-4522,TW-4522-REFERENCE,5vHvRPI0VlMQwOmQadCN,4522,event,waitlisted,backup,2026-06-02 16:00,2026-06-02 19:00,2026-06-02 16:00,2026-06-02 19:00,[TW-4522] [WAITLIST BACKUP] Operating MCP,TBC,"Bryant Park, New York, NY",approx_neighborhood_hidden,,,,,,Monitor waitlist / host approval Submitted via Partiful API; rsvpStatus=WAITLIST; count=2; plusOne=TBD.,7,S,98,https://partiful.com/e/5vHvRPI0VlMQwOmQadCN
schedule,TW-4341,TW-4341-SCHEDULE,bn5h1g13xzOV6R5XkLaE,4341,event,applied,primary,2026-06-02 16:00,2026-06-02 17:30,2026-06-02 16:00,2026-06-02 17:30,[TW-4341] [PENDING] From Copilot to Control Plane - Visdom,Midtown,"Bryant Park, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,1,S,100,https://partiful.com/e/bn5h1g13xzOV6R5XkLaE
reference,TW-4224,TW-4224-REFERENCE,XqIBMZmB4oubCZWFP2Sl,4224,event,applied,backup,2026-06-02 17:30,2026-06-02 19:00,2026-06-02 17:30,2026-06-02 19:00,[TW-4224] [PENDING BACKUP] WorkOS + Postman Agents & APIs Demo Night,"56 Greene Street, 4th Floor New York, NY 10012","Spring St and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,217,B,51,https://partiful.com/e/XqIBMZmB4oubCZWFP2Sl
reference,TW-5415,TW-5415-REFERENCE,UBrZopzqpRwbn6Qk0npO,5415,event,applied,backup,2026-06-02 17:30,2026-06-02 19:00,2026-06-02 17:30,2026-06-02 19:00,"[TW-5415] [PENDING BACKUP] AI, Algorithms & Liability: What Tech Leaders & Creators Need to Know","One Battery Park Plaza, 7th Floor New York, NY 10004","Wall St, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,72,B,58,https://partiful.com/e/UBrZopzqpRwbn6Qk0npO?c=4IfpVNvT
schedule,TW-4161,TW-4161-TRAVEL-IN,7DYGSiY1WUuRSvEnD5gp,,travel,registered,travel,2026-06-02 17:36,2026-06-02 18:00,2026-06-02 17:36,2026-06-02 18:00,[TW-4161-TRAVEL-IN] From Copilot to Control Plane - Visdom -> Future of DevEx,From Copilot to Control Plane - Visdom -> SoHo,From Copilot to Control Plane - Visdom -> SoHo,,subway+walk,24,Walk 2 min to 42 St-Bryant Pk (B/D/F/M); subway 17 min; walk 0 min from Prince St (N/Q/R/W); includes 5 min buffer.,B 42 St-Bryant Pk to DeKalb Av; Q DeKalb Av to Prince St,Minor delays possible,,,,,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9
reference,TW-4161,TW-4161-REFERENCE,7DYGSiY1WUuRSvEnD5gp,4161,event,applied,primary,2026-06-02 18:00,2026-06-02 21:00,2026-06-02 18:00,2026-06-02 21:00,[TW-4161] [PENDING PRIMARY] Future of DevEx,SoHo,"Spring St and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,3,S,100,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9
reference,TW-5437,TW-5437-REFERENCE,FSzOO6xPn11iqxVdtQ9j,5437,event,applied,apply,2026-06-02 18:00,2026-06-02 19:30,2026-06-02 18:00,2026-06-02 19:30,[TW-5437] [PENDING CURATED] Enterprise AI Happy Hour,SoHo,"Spring St and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,2,S,100,https://partiful.com/e/FSzOO6xPn11iqxVdtQ9j?
reference,TW-5925,TW-5925-REFERENCE,jytNb4IdG0HxwJnqDSgf,5925,event,applied,backup,2026-06-02 18:00,2026-06-02 20:00,2026-06-02 18:00,2026-06-02 20:00,[TW-5925] [PENDING BACKUP] Cloudflare + Shopify: Build for the Agent Era,SoHo,"Shopify New York, 131 Greene St, New York, NY 10012",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,23,S,75,https://partiful.com/e/jytNb4IdG0HxwJnqDSgf
schedule,TW-4161,TW-4161-SCHEDULE,7DYGSiY1WUuRSvEnD5gp,4161,event,applied,primary,2026-06-02 18:00,2026-06-02 21:00,2026-06-02 18:00,2026-06-02 21:00,[TW-4161] [PENDING] Future of DevEx,SoHo,"Spring St and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,3,S,100,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9
schedule,TW-4161,TW-20260602-TRAVEL-HOME,7DYGSiY1WUuRSvEnD5gp,,travel,registered,travel,2026-06-02 21:00,2026-06-02 21:20,2026-06-02 21:00,2026-06-02 21:20,[TW-20260602-TRAVEL-HOME] Future of DevEx -> FiDi home base,Future of DevEx -> FiDi home base,Future of DevEx -> FiDi home base,,subway+walk,20,Walk 0 min to Prince St (N/Q/R/W); subway 15 min; walk 0 min from Wall St (2/3); includes 5 min buffer.,N Prince St to Canal St; 4 Canal St to Wall St,Minor delays possible,,,,,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9
schedule,TW-5889,TW-5889-TRAVEL-IN,4HvzWY1VZlHgK21fMBUz,,travel,registered,travel,2026-06-03 11:29,2026-06-03 12:00,2026-06-03 11:29,2026-06-03 12:00,[TW-5889-TRAVEL-IN] FiDi home base -> Building secure AI for your data: DeepFellow Demo + Q&A,FiDi home base -> Chelsea,FiDi home base -> Chelsea,,subway+walk,31,Walk 0 min to Wall St (2/3); subway 22 min; walk 4 min from 23 St (A/C/E); includes 5 min buffer.,2 Wall St to 23 St,Minor delays possible,,,,,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN
reference,TW-5889,TW-5889-REFERENCE,4HvzWY1VZlHgK21fMBUz,5889,event,applied,primary,2026-06-03 12:00,2026-06-03 13:15,2026-06-03 12:00,2026-06-03 13:15,[TW-5889] [PENDING PRIMARY] Building secure AI for your data: DeepFellow Demo + Q&A,Chelsea,"23rd Street and 8th Avenue, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,16,S,80,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN
schedule,TW-5889,TW-5889-SCHEDULE,4HvzWY1VZlHgK21fMBUz,5889,event,applied,primary,2026-06-03 12:00,2026-06-03 13:15,2026-06-03 12:00,2026-06-03 13:15,[TW-5889] [PENDING] Building secure AI for your data: DeepFellow Demo + Q&A,Chelsea,"23rd Street and 8th Avenue, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,16,S,80,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN
reference,TW-5820,TW-5820-REFERENCE,titPml1Nw0DKwGl9B6CF,5820,event,applied,apply,2026-06-03 13:30,2026-06-03 17:00,2026-06-03 13:30,2026-06-03 17:00,[TW-5820] [PENDING CURATED] Anthropic Founder Salon: Inside the AI-Native Era,"New York, NY - Chelsea neighborhood (venue details upon confirmation)","23rd Street and 8th Avenue, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,9,S,94,https://partiful.com/e/titPml1Nw0DKwGl9B6CF
schedule,TW-4444,TW-4444-TRAVEL-IN,1N6CtiCpYquktoTh5NUm,,travel,registered,travel,2026-06-03 13:35,2026-06-03 14:00,2026-06-03 13:35,2026-06-03 14:00,[TW-4444-TRAVEL-IN] Building secure AI for your data: DeepFellow Demo + Q&A -> The Future of Coding Agents and IDE,"Building secure AI for your data: DeepFellow Demo + Q&A -> 1155 6th Ave, New York, NY 10036","Building secure AI for your data: DeepFellow Demo + Q&A -> 1155 6th Ave, New York, NY 10036",,subway+walk,25,Walk 4 min to 23 St (A/C/E); subway 11 min; walk 5 min from Times Sq-42 St (GS); includes 5 min buffer.,A 23 St to 34 St-Penn Station; 1 34 St-Penn Station to Times Sq-42 St,Minor delays possible,,,,,https://partiful.com/e/1N6CtiCpYquktoTh5NUm
reference,TW-4444,TW-4444-REFERENCE,1N6CtiCpYquktoTh5NUm,4444,event,applied,primary,2026-06-03 14:00,2026-06-03 15:00,2026-06-03 14:00,2026-06-03 15:00,[TW-4444] [PENDING PRIMARY] The Future of Coding Agents and IDE,"1155 6th Ave, New York, NY 10036","1155 6th Ave, New York, NY 10036",manual_exact_manhattan,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=2; plusOne=TBD.,27,A,72,https://partiful.com/e/1N6CtiCpYquktoTh5NUm
schedule,TW-4444,TW-4444-SCHEDULE,1N6CtiCpYquktoTh5NUm,4444,event,applied,primary,2026-06-03 14:00,2026-06-03 15:00,2026-06-03 14:00,2026-06-03 15:00,[TW-4444] [PENDING] The Future of Coding Agents and IDE,"1155 6th Ave, New York, NY 10036","1155 6th Ave, New York, NY 10036",manual_exact_manhattan,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=2; plusOne=TBD.,27,A,72,https://partiful.com/e/1N6CtiCpYquktoTh5NUm
schedule,TW-5529,TW-5529-TRAVEL-IN,E8NhJNHWGhMetLlrFvQ7,,travel,registered,travel,2026-06-03 15:40,2026-06-03 16:00,2026-06-03 15:40,2026-06-03 16:00,[TW-5529-TRAVEL-IN] The Future of Coding Agents and IDE -> Fireside chat - When coding agents are the user?,"The Future of Coding Agents and IDE -> New York, NY","The Future of Coding Agents and IDE -> New York, NY",,walk,20,Walk approx 20 min / 1595 m using OSM-geocoded points.,,,,,,,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7
reference,TW-4719,TW-4719-REFERENCE,2NP0rZW8BmdGAGUOEhGP,4719,event,applied,apply,2026-06-03 16:00,2026-06-03 21:00,2026-06-03 16:00,2026-06-03 21:00,[TW-4719] [PENDING CURATED] Agent Harnesses: What It Takes to Make AI Agents Work in the Enterprise,Union Square,"Union Square W, New York, NY 10003",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,8,S,97,https://partiful.com/e/2NP0rZW8BmdGAGUOEhGP?f=1
reference,TW-5529,TW-5529-REFERENCE,E8NhJNHWGhMetLlrFvQ7,5529,event,registered,primary,2026-06-03 16:00,2026-06-03 17:15,2026-06-03 16:00,2026-06-03 17:15,[TW-5529] [REG PRIMARY] Fireside chat - When coding agents are the user?,"New York, NY","28th Street and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Registered; monitor for updates Submitted via Partiful API; rsvpStatus=GOING; count=2; plusOne=TBD.,15,S,81,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7
schedule,TW-5529,TW-5529-SCHEDULE,E8NhJNHWGhMetLlrFvQ7,5529,event,registered,primary,2026-06-03 16:00,2026-06-03 17:15,2026-06-03 16:00,2026-06-03 17:15,[TW-5529] [REG] Fireside chat - When coding agents are the user?,"New York, NY","28th Street and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Registered; monitor for updates Submitted via Partiful API; rsvpStatus=GOING; count=2; plusOne=TBD.,15,S,81,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7
reference,TW-4778,TW-4778-REFERENCE,h1hGv0PkskcagJOv5M9K,4778,event,applied,apply,2026-06-03 17:30,2026-06-03 19:30,2026-06-03 17:30,2026-06-03 19:30,[TW-4778] [PENDING CURATED] The CTO Mixer: Humanizing Tech | Happy Hour,"Midtown, Manhattan, New York, NY","Astor Place, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,6,S,100,https://partiful.com/e/h1hGv0PkskcagJOv5M9K
reference,TW-5693,TW-5693-REFERENCE,Fp5STyPH0McEt0awlWFD,5693,event,applied,backup,2026-06-03 17:30,2026-06-03 19:30,2026-06-03 17:30,2026-06-03 19:30,[TW-5693] [PENDING BACKUP] Camp AI: Agents at Work,"620 8th Ave, New York, NY 10018","620 8th Ave, New York, NY 10018",manual_exact_manhattan,,,,,,Wait for host approval Submitted via Partiful API after user confirmed age 21+; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,19,S,78,https://partiful.com/e/Fp5STyPH0McEt0awlWFD
schedule,TW-4664,TW-4664-TRAVEL-IN,6ZuudQBBZXcMNjdMynJ2,,travel,registered,travel,2026-06-03 17:40,2026-06-03 18:00,2026-06-03 17:40,2026-06-03 18:00,[TW-4664-TRAVEL-IN] Fireside chat - When coding agents are the user? -> MCP in the Wild: Panel & Night of Networking,Fireside chat - When coding agents are the user? -> East Village,Fireside chat - When coding agents are the user? -> East Village,,subway+walk,20,Walk 1 min to 28 St (N/Q/R/W); subway 13 min; walk 1 min from Astor Pl (4/6); includes 5 min buffer.,N 28 St to 14 St-Union Sq; 4 14 St-Union Sq to Astor Pl,Minor delays possible,,,,,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2
reference,TW-4664,TW-4664-REFERENCE,6ZuudQBBZXcMNjdMynJ2,4664,event,applied,primary,2026-06-03 18:00,2026-06-03 20:30,2026-06-03 18:00,2026-06-03 20:30,[TW-4664] [PENDING PRIMARY] MCP in the Wild: Panel & Night of Networking,East Village,"Astor Place, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,58,A,63,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2
schedule,TW-4664,TW-4664-SCHEDULE,6ZuudQBBZXcMNjdMynJ2,4664,event,applied,primary,2026-06-03 18:00,2026-06-03 20:30,2026-06-03 18:00,2026-06-03 20:30,[TW-4664] [PENDING] MCP in the Wild: Panel & Night of Networking,East Village,"Astor Place, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,58,A,63,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2
reference,TW-4197,TW-4197-REFERENCE,UhyErPPxuo2vELIutdGj,4197,event,applied,apply,2026-06-03 19:00,2026-06-03 21:00,2026-06-03 19:00,2026-06-03 21:00,[TW-4197] [PENDING CURATED] The Tech Leaders Suite,Brooklyn,"Barclays Center, Brooklyn, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,5,S,100,https://partiful.com/e/UhyErPPxuo2vELIutdGj?
schedule,TW-4664,TW-20260603-TRAVEL-HOME,6ZuudQBBZXcMNjdMynJ2,,travel,registered,travel,2026-06-03 20:30,2026-06-03 20:50,2026-06-03 20:30,2026-06-03 20:50,[TW-20260603-TRAVEL-HOME] MCP in the Wild: Panel & Night of Networking -> FiDi home base,MCP in the Wild: Panel & Night of Networking -> FiDi home base,MCP in the Wild: Panel & Night of Networking -> FiDi home base,,subway+walk,20,Walk 1 min to Astor Pl (4/6); subway 14 min; walk 0 min from Wall St (2/3); includes 5 min buffer.,4 Astor Pl to Wall St,Minor delays possible,,,,,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2
schedule,TW-5372,TW-5372-TRAVEL-IN,5K5c4eODrGPKME7or20H,,travel,registered,travel,2026-06-04 15:36,2026-06-04 16:00,2026-06-04 15:36,2026-06-04 16:00,[TW-5372-TRAVEL-IN] FiDi home base -> Shipping Faster with AI Coding Agents: What's Working and What's Not,"FiDi home base -> New York, NY","FiDi home base -> New York, NY",,subway+walk,24,Walk 0 min to Wall St (2/3); subway 19 min; walk 0 min from Prince St (N/Q/R/W); includes 5 min buffer.,2 Wall St to Canal St; Q Canal St to Prince St,Minor delays possible,,,,,https://partiful.com/e/5K5c4eODrGPKME7or20H
reference,TW-5372,TW-5372-REFERENCE,5K5c4eODrGPKME7or20H,5372,event,applied,primary,2026-06-04 16:00,2026-06-04 19:00,2026-06-04 16:00,2026-06-04 19:00,[TW-5372] [PENDING PRIMARY] Shipping Faster with AI Coding Agents: What's Working and What's Not,"New York, NY","Spring St and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Leave early if needed so you can make the registered 19:00 Stop Making AI Guess event. Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,4,S,100,https://partiful.com/e/5K5c4eODrGPKME7or20H
