invite_rank,rank,tier,recommended_action,opportunity_score,practical_score,confidence,access_bucket,buyer_fit_score,product_fit_score,topic_fit_score,signal_score,location_score,schedule_score,negative_score,fit_summary,matched_signals,caveats,description_excerpt,id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,source_url,fetch_status,fetch_error,final_url,canonical_url,local_html_path,page_title,event_description
136,193,B,Backup option,53,46,medium,apply_or_curated,0,0,23,22,-5,4,0,"topic: infra/platform, AI; signal: curated room, builders/operators","infra/platform, AI, curated room, builders/operators, founders, networking format","less convenient; taper day, afternoon; apply or curated",What happens when top European founders meet US investors during the busiest week in NYC? We’re bringing together a curated crowd of builders and backers shaping the next generation of global startups. If you’re: A European founder expanding to the US A US in...,4914,Curated Happy Hour for European founders and US Investors! Powered by ESE,2026-06-05,16:00:00,Friday,2026-06-05 16:00,New York City,Upper Manhattan,Upper Manhattan,Afternoon,EUROPEAN STARTUP EMBASSY,,European Startup Embassy; Valka AI,European Startup Embassy; Valka AI,european-startup-embassy; valka-ai,False,,https://partiful.com/e/LEDa1R82yEii1oxgrTBF,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/LEDa1R82yEii1oxgrTBF,https://partiful.com/e/LEDa1R82yEii1oxgrTBF,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/LEDa1R82yEii1oxgrTBF-85a96ccd06.html,Curated Happy Hour for Europea… | Partiful,"What happens when top European founders meet US investors during the busiest week in NYC?

We’re bringing together a curated crowd of builders and backers shaping the next generation of global startups.

If you’re:
A European founder expanding to the US
A US investor looking for high-quality international dealflow
A member of the European tech diaspora eager to meet fellow builders
Or an operator supporting global companies

This is your room.
-----------------------------------------------European Startup Embassy is a platform where Europe’s entrepreneurial talent and capital connect with U.S. partners and the European tech diaspora in the U.S. to tap into the opportunities of the U.S. tech landscape.

Our mission is clear: to provide the physical and virtual infrastructure for European startups and investors to thrive in the U.S.

ESE is operating a cowork & event space plus a coliving space in the heart if the San Francisco VC district. 

We also have a partner space available for selected startups in Austin.

And now we´re expanding to NYC! 

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
137,197,B,Consider if it fits schedule,52,54,medium,apply_or_curated,0,0,23,28,4,9,-12,"topic: infra/platform, AI; signal: curated room, private/invite","infra/platform, AI, curated room, private/invite, builders/operators, founders, networking format","reasonable Manhattan; still high-density, evening friendly; off-ICP signals: wellness/social; apply or curated","Join us for Regulate to Accelerate, Somarae’s signature somatic wellness experience (breathwork, movement, music & meditation) , hosted at Alberto Luzzi’s in SoHo. This is designed for founders, operators, and leaders who want to perform at a high level witho...",3989,"Somatic Wellness, Breathwork & Nervous System Regulation",2026-06-04,17:30:00,Thursday,2026-06-04 17:30,New York City,Meatpacking District,Meatpacking District,Evening,Somarae,Somarae,,Somarae,somarae,False,,https://partiful.com/e/BZqpixojsn6MKtOvYbBb?,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/BZqpixojsn6MKtOvYbBb,https://partiful.com/e/BZqpixojsn6MKtOvYbBb,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/BZqpixojsn6MKtOvYbBb-24fbf2878b.html,"Somatic Wellness, Breathwork &… | Partiful","Join us for Regulate to Accelerate, Somarae’s signature somatic wellness experience (breathwork, movement, music & meditation) , hosted at Alberto Luzzi’s in SoHo. This is designed for founders, operators, and leaders who want to perform at a high level without burning out.

Because the truth is:
Your nervous system is your greatest performance asset.

🥂 The Social Experience (5:30–8 PM | Open to All)
Step into an intentional Tech Week wellness gathering. This is networking that is actually nourishing.

* Curated wellness + lifestyle vendors
* Complimentary light bites & drinks
* Meaningful connections 
* A space to meet aligned founders, creatives, and leaders

✨ The Somatic Experience (6–7 PM | Limited to 20 Only)
For those who want to go deeper, we’re doing a private, immersive somatic & breathwork session facilitated by Marian Bacol (Founder of Somarae).

* Only 20 spots available 
* Approval required
* A guided somatic experience with breathwork, movement, music and meditation

If selected, you’ll receive:
* A premium, small-group somatic experience
* A curated gift bag filled with incredible wellness products, including lululemon items

These spots are intentionally limited and will go quickly.

Why this matters (especially during Tech Week):
The most successful founders aren’t just the ones who move fast…
They’re the ones who know how to regulate under pressure.
Regulate your nervous system so you can accelerate everything else.

ABOUT SOMARAE:
​Somarae is a somatic wellness platform and community for personalized, on-demand stress relief + nervous system support. We help people reconnect with their bodies through science-backed tools, integrate with women's health cycles and community-centered support (online and in-person events). Join our community at ""somarae.co"" 
Follow us on IG: https://www.instagram.com/wearesomarae

ABOUT ALBERTO LUZZI:
A radiant new arrival in SoHo's vibrant retail scene. Inside, dazzling pieces showcase a distinct, innovative design language — sculptural cuffs, refined links, and collections crafted to last a lifetime. Every detail reflects a deeper passion for jewelry and its symbolism. 
www.albertoluzzi.com

ABOUT MARIAN:
Marian Bacol is a TEDx Speaker, Certified Somatic Coach, Breathwork Facilitator and the Founder of Somarae-an AI-powered somatic wellness platform and community for personalized, on-demand stress relief and nervous system support through emotionally intelligent AI, science-backed somatic micro-practices, and integrates with women’s health cycles. Beyond technology, Somarae extends into in-person experiences, workshops, and retreats designed to foster connection, co-regulation, and sustainable well-being.

With over 20 years of experience across corporate, startup, and entrepreneurial environments, Marian understands both the demands of the boardroom and the realities of burnout. Today, she partners with organizations through keynotes, corporate trainings, coaching, and retreats, delivering immersive, science-backed experiences that people don’t just learn, but feel and apply in real time.
https://www.linkedin.com/in/marianbacol"
138,198,B,Consider if it fits schedule,52,50,medium,apply_or_curated,19,0,23,9,8,7,-18,"buyer: software builders, technical founders; topic: infra/platform, AI; signal: builders/operators, founders","software builders, technical founders, infra/platform, AI, builders/operators, founders","downtown convenient; still high-density, afternoon; off-ICP signals: consumer/lifestyle, hackathon; apply or curated","PROOF OF BUILD ->An agent hackathon by Lyzr, during NY Tech Week. ->Six hours to build. One yard party to close it out. Tech Week is full of panels about the future of AI. This isn't one of them. Proof of Build is a working afternoon for people who'd rather s...",4987,Proof of Build -An agent building hackathon by Lyzr,2026-06-04,14:00:00,Thursday,2026-06-04 14:00,New York City,SoHo,SoHo,Afternoon,Lyzr,Lyzr,,Lyzr,lyzr,False,,https://partiful.com/e/w3EFGHHBj4EKAbmifC0I?,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/w3EFGHHBj4EKAbmifC0I,https://partiful.com/e/w3EFGHHBj4EKAbmifC0I,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/w3EFGHHBj4EKAbmifC0I-d6d7d5b90d.html,Proof of Build -An agent build… | Partiful,"PROOF OF BUILD
->An agent hackathon by Lyzr, during NY Tech Week.
->Six hours to build. One yard party to close it out.

Tech Week is full of panels about the future of AI. This isn't one of them.

Proof of Build is a working afternoon for people who'd rather spend six hours writing code than sitting through another keynote about code.

We're bringing together ~150 founding engineers, ML builders, and product engineers to build agents that solve something real - not a demo, not a slideware prototype, something you'd actually use on Monday. 

Lyzr is hosting, our infra is available if you want to use it, and our team will be in the room building alongside you.

Then we close the day properly. Once the builds land and the demos wrap, the yard opens - DJ, drinks, food, and the kind of crowd that'll still be talking about your agent at midnight.

Come with a laptop, a teammate (or find one here), and a problem you've been meaning to solve. Leave with a working agent, a small crowd that saw you ship it, and - if your build clears the bar - a prize.

Prize to be announced soon.

Who this is for: founding engineers, ML/AI engineers, senior software engineers, and technical founders currently building with agents or planning to. This is a hands-on build day, not a meetup - please only RSVP if you plan to actually code.

Format: Arrive 2 PM. Team up or fly solo. Build until 8 PM. Five-minute demos. Yard party runs until late. Light judging, real prizes, zero pitch decks.

Lyzr Events will confirm your spot within a few days of RSVP. Address shared with approved guests closer to the date.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
139,199,B,Consider if it fits schedule,52,50,medium,apply_or_curated,7,0,26,9,2,4,0,"buyer: software builders; topic: devtools, AI; signal: builders/operators, founders","software builders, devtools, AI, builders/operators, founders","midtown reachable; taper day, afternoon; apply or curated","​Join Tavily and J.P. Morgan for a hands-on session where you’ll learn how to build a real-time market research agent that combines structured financial data with live web intelligence. ​Using Tavily’s purpose-built search API, the agent retrieves high-signal...",5761,"Finance Agents Demo Night with JP Morgan, LangChain & Tavily",2026-06-05,16:00:00,Friday,2026-06-05 16:00,New York City,Midtown,Midtown,Afternoon,Tavily AI,Tavily AI,JP Morgan,Tavily AI; JP Morgan,tavily-ai; jp-morgan,False,,https://partiful.com/e/iVvYeqLhieeu6286yKro,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/iVvYeqLhieeu6286yKro,https://partiful.com/e/iVvYeqLhieeu6286yKro,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/iVvYeqLhieeu6286yKro-33bb3eac1d.html,RSVP to Finance Agents Demo Ni… | Partiful,"​Join Tavily and J.P. Morgan for a hands-on session where you’ll learn how to build a real-time market research agent that combines structured financial data with live web intelligence.

​Using Tavily’s purpose-built search API, the agent retrieves high-signal, up-to-date insights, including news, regulatory updates, and emerging risk factors, to enrich traditional financial analysis.

​By the end of the session, you’ll have a working agent capable of deeper, more dynamic market research, going beyond static datasets to surface timely opportunities and risks.

​📅 Event Details

​Friday, June 5th

​4:00 – 6:00 PM ET

​J.P. Morgan Office (details shared after RSVP)

​
​What to expect

​⚡ A hands-on walkthrough of building a market research agent

​🧠 Learn how to combine structured financial data with real-time web intelligence

​🛠️ Practical insights into agent workflows and tool orchestration

​💬 Time to ask questions and connect with the Tavily & J.P. Morgan teams

​
Who should attend:

1) ​Engineers and builders interested in AI agents
2) ​Founders and operators working with data-driven products
​3) Investors and analysts exploring new research workflows
​4) Anyone curious about real-time, AI-powered market intelligence

Please note: This event is for 21+ and approved guests only (valid photo ID will be required upon check-in).

​
What is J.P. Morgan Innovation Economy Banking?

​J.P. Morgan Innovation Economy Banking is dedicated to supporting the next generation of builders — bringing together founders, investors, startups, and high-growth companies. With technology that powers growth, J.P. Morgan enables early-stage and venture-backed companies to make secure, real-time, and efficient financial decisions.

​
​What is Tavily?

​Tavily is a purpose-built search API for AI agents. It provides fast, structured, and relevance-optimized access to real-time web data, enabling developers to build agents that retrieve high-quality, up-to-date information with minimal noise.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
140,200,B,Backup option,52,45,medium,apply_or_curated,0,0,13,28,2,0,0,"topic: infra/platform; signal: curated room, private/invite","infra/platform, curated room, private/invite, high-signal format, small room, builders/operators, founders","midtown reachable; early-week push, morning drag, early; apply or curated",Walk into Tech Week knowing exactly how to raise and what to do next. Seed & Pre-Seed Founders Breakfast June 1 | Morning A curated breakfast for early-stage founders who are actively raising or about to. This is a high-intent room focused on helping you unde...,4635,Raisi: Pre-Seed and Seed Fundraising Breakfast,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,Midtown,Midtown,Morning,Raisi,Raisi,,Raisi,raisi,False,,https://partiful.com/e/JBmmrgrMzARVXgTMO34l,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/JBmmrgrMzARVXgTMO34l,https://partiful.com/e/JBmmrgrMzARVXgTMO34l,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/JBmmrgrMzARVXgTMO34l-efb3d28850.html,RSVP to Raisi: Pre-Seed and Se… | Partiful,"Walk into Tech Week knowing exactly how to raise and what to do next.

Seed & Pre-Seed Founders Breakfast
June 1 | Morning

A curated breakfast for early-stage founders who are actively raising or about to.

This is a high-intent room focused on helping you understand how investors are actually making decisions right now and what you should do next.

Free catered breakfast included.

What to expect

We’re bringing together seed and pre-seed founders, along with a group of active investors and accelerator leads, for a focused, conversation-driven session.

No panels. No presentations. Just real discussion, data, and direct feedback.

How it works

Curated Roundtable Conversations

- What investors are responding to right now
- Why deals are getting traction or getting ignored
- How to adjust your positioning and outreach

Live Discussion + Feedback

- Founders share where they are in their raise
- Investors and operators give direct input
- Open conversation across the room

Raisi Data Snapshot

- Key patterns from millions of live founder-investor interactions
- What’s actually working across outreach, meetings, and conversion

What you get

- A clear next step for your raise
- A curated room of founders and investors worth knowing
- Raisi data snapshot handout
- Free strategy session offered to attendees
- Entry into a raffle for a free month of Raisi (for founders who book a follow-up)

Who’s in the room

- Seed and pre-seed founders
- A small group of active seed investors
- Accelerator and ecosystem leads

This is the starting point for the week. You walk in early, get clarity, and carry that into every conversation that follows.

About Raisi: 
Raisi is a fundraising operating system built to help founders run their raise end to end. From identifying the right investors to executing outreach and managing conversations, it replaces fragmented fundraising workflows with one system.

Since 2024, once every 50.1 minutes, a founder has met with an investor interested in their company through Raisi. The platform has facilitated 21,000+ positive connections between founders and investors and is powered by up-to-date signals from millions of live interactions across the private markets.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
141,201,B,Backup option,52,45,medium,apply_or_curated,7,13,23,28,2,11,-41,"buyer: executives; product: contribution rewards; topic: infra/platform, AI; signal: curated room, private/invite","executives, contribution rewards, infra/platform, AI, curated room, private/invite, builders/operators, founders, networking format","midtown reachable; early-week push, evening friendly; off-ICP signals: wellness/social, consumer/lifestyle, off-ICP vertical; apply or curated",#A16Z #techweek #AI #Travel Jetzy collaborates with A16Z techweek to present : The Future of Travel - Meet Investors and Founders The lifestyle travel network Jetzy invites you to join us for an inspiring evening exploring the Future of Travel—where technolog...,5349,Jetzy presents: The Future of Travel - Meet Investors and Founders,2026-06-01,18:00:00,Monday,2026-06-01 18:00,New York City,Midtown,Midtown,Evening,Jetzy,Jetzy,,Jetzy,jetzy,False,,https://partiful.com/e/vMgh1HOU0xqBmBJdxwCI,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/vMgh1HOU0xqBmBJdxwCI,https://partiful.com/e/vMgh1HOU0xqBmBJdxwCI,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/vMgh1HOU0xqBmBJdxwCI-448cfb0b6d.html,Jetzy presents: The Future of … | Partiful,"#A16Z #techweek #AI #Travel

Jetzy collaborates with A16Z techweek to present : The Future of Travel - Meet Investors and Founders 

The lifestyle travel network Jetzy invites you to join us for an inspiring evening exploring the Future of Travel—where technology, culture, and experience come together.

Connect with investors, founders, travel leaders, and innovators as we discuss:
🌍 How AI and technology are transforming travel
🌍 The rise of personalized and experiential journeys
🌍 New opportunities in global mobility and hospitality
🌍 What the next decade of travel will look like

Speakers:

Shama Zehra
Shama Zehra is the Founder & CEO of JETZY which is the world’s first social platform to connect and reward people with passion for travel, adventure and unique lifestyle experiences. On Jetzy you can connect with like-minded people and access VIP perks and up to 70% discounts for hotels, restaurants, car rentals, yachts, private jet and many other lifestyle brands and experiences. Jetzy is transforming travel by replacing fragmented search with a personalized, conversational AI experience. By combining AI, social discovery, and seamless booking, Jetzy will turn travel planning into an intuitive, end-to-end experience designed around each individual. 

Shama is a serial entrepreneur and has built several successful businesses in technology, financial services and fashion space. Shama began her career as one of the youngest female entrepreneurs in Pakistan when she built and sold a women apparel firm 12x at age 19. Shama later moved to financial services industry where she worked at Goldman Sachs and Morgan Stanley before starting her own investment advisory firm Aligned where she raised more than $2 billion. Shama’s entrepreneurial vision and success has been featured on the cover of Forbes Entrepreneurs and in Crains New York, Huffington Post, Nasdaq Entrepreneurs, Columbia University’s Core Magazine and several other publications. Shama holds two MBA degrees: one in Finance & Strategy from Michigan Ross School, and second in International Business from IBA, Karachi (formed under affiliation with Wharton, University of Pennsylvania). Shama lives in New York City and enjoys travel, skiing, yoga and spending time with her family (esp her niece and nephews).

Zain Jeewanji
Zain is a globally recognized pioneer in the Insuretech space, a visionary entrepreneur, investor, speaker, humanitarian, and an insurance industry veteran. Zain created the first true travel medical insurance product in the USA and online travel insurance in 1996. Zain is a mentor, investor and advisor to numerous startups, entrepreneurs all over Silicon Valley and sits on the board of advisory of several companies. He is also on the Board of advisory of Rand Corp’s Center for Asia Pacific Policy.

An avid cricket fan, you will find him on stadiums across the globe. When not watching cricket, he is busy helping startups in marketing and advising young CEO’s, founders, & entrepreneurs on challenges they are facing. Zain lives in Silicon Valley, California

Rob Mihalko
Rob is a tech executive, investor, and business educator with 20+ years of experience building and scaling software businesses. Rob is founder and managing director of Spectus Ventures. His background spans SAP/Ariba, Microsoft, and United Airlines, and he has a particular interest in travel technology. Rob developed and teaches a course on digital marketplaces through Stanford Continuing Studies. Rob is an avid traveler and resides in Silicon Valley, California

______________________________

Expect meaningful conversations, powerful networking, and a curated community shaping the future of how we explore the world.

📍 Location: TBD (Manhattan)
📅 Date & Time: June 1, 6-9pm

Spots are limited—reserve your place and be part of the future of travel.

We look forward to seeing you there ✈️

Host: Jetzy
JETZY is the world’s first social platform to connect and reward people with passion for travel, adventure and unique lifestyle experiences. Users can get up to 70% discount for their hotels, restaurants, car rentals, yachts, private jet and many other travel needs.

https://jetzy.com/download.html
Invite Code: Jetzy-me

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
142,202,B,Backup option,52,45,medium,apply_or_curated,7,0,0,28,4,11,-7,"buyer: executives; signal: curated room, high-signal format","executives, curated room, high-signal format, builders/operators, founders, networking format","reasonable Manhattan; peak early-week day, afternoon; off-ICP signals: healthcare vertical; apply or curated","Technology built to improve access, delivery, financing, and outcomes across women's and LGBTQ+ health is one of the most undercapitalized and highest-potential sectors in healthcare today. This invitation-only salon brings together the founders building it,...",5269,Gender HealthTech: The Next Investment Frontier (Pre-Seed Founders and Angel & VC Investors),2026-06-02,16:00:00,Tuesday,2026-06-02 16:00,New York City,Chelsea,Chelsea,Afternoon,Trans Health HQ,Trans Health HQ,Visible Hands; VCFamilia,Visible Hands; Trans Health HQ; VCFamilia,visible-hands; trans-health-hq; vcfamilia,False,,https://partiful.com/e/KOpqOgcYvaValKqg0547,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/KOpqOgcYvaValKqg0547,https://partiful.com/e/KOpqOgcYvaValKqg0547,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/KOpqOgcYvaValKqg0547-0c9c4be193.html,Gender HealthTech: The Next In… | Partiful,"Technology built to improve access, delivery, financing, and outcomes across women's and LGBTQ+ health is one of the most undercapitalized and highest-potential sectors in healthcare today. This invitation-only salon brings together the founders building it, the investors funding it, and the health system and healthcare leaders who are deciding where it gets adopted next.

We'll skip the awareness conversation and get into the work: where the 2026 market opportunity actually is, where capital is moving and where it's stuck, and how founders, angels, VCs, payers, and healthcare leaders can stop operating in silos and start coordinating. Then we'll keep the conversation going, over structured networking and a salsa class.

Our afternoon together will look like this:
• Panel (30 min): CEOs and founders of leading gender healthtech companies in conversation with active investors, sharing what it actually takes to build and fund category-defining companies & hearing about investors' scars and triumphs in this space 
• Structured networking (30 min): A curated room of partner-level VCs, active angels with recent deployment history, and executives from ecosystem partners designed to make introductions that matter
• Salsa class (1 hour): Because the best deals get done when people are having fun

RSVP now to redefine healthcare for all. Hosted by Trans Health HQ, Visible Hands, and La Familia. Space is intentionally limited.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com"
143,203,B,Backup option,52,45,medium,apply_or_curated,0,0,0,28,2,13,0,"signal: curated room, private/invite","curated room, private/invite, small room, builders/operators, founders","midtown reachable; peak early-week day, evening friendly; apply or curated","An invite-only evening connecting selected Israeli founders with NYC-based investors, financial leaders, ecosystem builders, and strategic partners — powered by Discount Tech and IDB Bank. A festive kickoff bringing together the full delegation alongside New...",6176,Israel Founders Mission NYC: Opening Cocktail,2026-06-02,17:30:00,Tuesday,2026-06-02 17:30,New York City,Midtown,Midtown,Evening,Discount Tech,Discount Tech,IDB Bank,Discount Tech; IDB Bank,discount-tech; idb-bank,False,,https://partiful.com/e/FenpRxL7UHuPW7xxXEjB,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/FenpRxL7UHuPW7xxXEjB,https://partiful.com/e/FenpRxL7UHuPW7xxXEjB,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/FenpRxL7UHuPW7xxXEjB-ed012a85bc.html,Israel Founders Mission NYC: O… | Partiful,"An invite-only evening connecting selected Israeli founders with NYC-based investors, financial leaders, ecosystem builders, and strategic partners — powered by Discount Tech and IDB Bank.

A festive kickoff bringing together the full delegation alongside New York’s leading voices in tech and finance.

Why attend
• Meet selected Israeli startup founders
• Connect with investors, family offices, and U.S. ecosystem leaders
• Build real cross-border relationships between Israel and New York

Agenda
5:30pm – 7:30pm: Opening Night Cocktail Reception hosted by Avner Mendelson

Welcoming guests and setting the vision for the week by Avner Mendelson, CEO & President of IDB Bank.

Curated audience. Limited capacity. Approval required.

Confirmed guests will receive a calendar invitation (non-transferable). Additional event details will be shared closer to the event.

​By attending, you agree to:

​ • Be respectful, professional, and follow all venue rules and laws.

​ • Avoid harassment, discrimination, or inappropriate behavior of any kind.

​ • Accept that participation is voluntary and at your own risk.

​The organizers are not responsible for injuries, lost items, or damages.

​Photos/videos may be taken and used for promotional purposes.

​By registering, you agree to receive event updates by email (unsubscribe anytime).

​If you do not agree to these terms, please do not attend.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
144,204,B,Backup option,52,45,medium,apply_or_curated,0,0,23,28,2,13,-23,"topic: infra/platform, AI; signal: curated room, private/invite","infra/platform, AI, curated room, private/invite, builders/operators, founders, networking format","midtown reachable; peak early-week day, evening friendly; off-ICP signals: student-heavy, off-ICP vertical; apply or curated",Pioneering Minds AI: AI Founder Matchmaking Night ​Meet your co-founder. Join a founding team. Start building. ​Team is what makes or breaks a startup. ​Most great startups don’t fail because of ideas. They fail because the team wasn’t right. The tema lacks c...,4241,AI Builders x Founders: Matchmaking,2026-06-02,18:00:00,Tuesday,2026-06-02 18:00,New York City,Midtown,Midtown,Evening,Pioneer Minds AI,Pioneer Minds AI,,Pioneer Minds AI,pioneer-minds-ai,False,,https://partiful.com/e/T6FjZ5aD6hprIfQyjaSz,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/T6FjZ5aD6hprIfQyjaSz,https://partiful.com/e/T6FjZ5aD6hprIfQyjaSz,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/T6FjZ5aD6hprIfQyjaSz-268f386ec5.html,AI Builders x Founders: Matchm… | Partiful,"Pioneering Minds AI: AI Founder Matchmaking Night
​Meet your co-founder. Join a founding team. Start building.

​Team is what makes or breaks a startup.

​Most great startups don’t fail because of ideas. They fail because the team wasn’t right. The tema lacks chemistry, conviction, loyalty, and time is too costly for startups to mess around and find out.

​This night is about one thing: finding the right people to build with. Explore the tech talents that New York has to offer

​This is not another networking event. This is a structured, high-signal room designed to help founders and builders actually find the people they can build with.

​Whether you’re:

​A founder looking for your first engineer, operator, or early team

​Looking for a co-founder

​A builder looking to join something meaningful early

​Or someone exploring ideas but ready to commit when it clicks

​What makes this different
​We’ve designed the format to remove randomness and maximize real connection.

​Curated room: ~40 high-intent participants (founders + builders)

​Structured matching rounds: No awkward mingling but focused conversations

​Signal over noise: You’ll meet multiple potential collaborators in under an hour

​Designed prompts: Conversations that go beyond “what do you do?”

​You won’t leave with a stack of LinkedIn connections that you may or may not stay in touch with. You’ll leave knowing who you’d actually build with.

About Cooley:
Cooley is the go-to advisor for innovators and disruptors, helping to turn great ideas into great companies. As one of the most active global firms for early- and late-stage financings, IPOs and M&A, we combine our multidisciplinary platform with efficient, tech-enabled resources to provide clients with premium counsel through each stage as they scale. Cooley is deeply connected in the venture ecosystem, working with startups, boards, leadership teams and investors to support 7,000+ high-growth private companies reshaping the global economy. Our distinctive approach to client relationships, proactive problem-solving and team collaboration ensures clients have a legal partner to take their business to the next level. 

​About Pioneering Minds AI:
At pioneeringminds.ai, we grow AI native pioneers who build, deploy, and govern AI responsibly and put humans at the front seat. We help YOU - our AI pioneers - to truly understand AI and create real value out of AI.

Our mission is straightforward:

​​​Accelerate Innovation: Equip participants with cutting-edge AI tools to deliver rapid prototypes.

​​​Foster Collaboration: Unite diverse teams—students, engineers, and civic leaders—to tackle urban challenges head-on.

​​​Create Lasting Impact: Offer continued mentorship and post-event partnerships so promising concepts can scale.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
145,205,B,Backup option,52,45,medium,apply_or_curated,7,0,0,18,8,10,0,"buyer: executives; signal: curated room, builders/operators","executives, curated room, builders/operators, founders","downtown convenient; peak midweek day, afternoon; apply or curated","You don't need a better idea. You need a stronger delivery. Many founders lose the room in the first 60 seconds, not because of their deck, but because their nervous system takes over. Under pressure, your voice and body language change, often without you rea...",4843,THE PITCH ROOM: Live. Interactive. Built for Founders,2026-06-03,14:00:00,Wednesday,2026-06-03 14:00,New York City,Financial District,Financial District,Afternoon,Speech & Mind,Speech & Mind,,Speech & Mind,speech-mind,False,,https://partiful.com/e/31H3VYXuOFJderTS31yH,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/31H3VYXuOFJderTS31yH,https://partiful.com/e/31H3VYXuOFJderTS31yH,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/31H3VYXuOFJderTS31yH-cbd363a64e.html,THE PITCH ROOM: Live. Interact… | Partiful,"You don't need a better idea. You need a stronger delivery.

Many founders lose the room in the first 60 seconds, not because of their deck, but because their nervous system takes over.

Under pressure, your voice and body language change, often without you realizing it. Those signals shape how you're perceived before your content has a chance to land. If you haven't trained for that, they quietly work against you.

The Pitch Room is a fully interactive session led by Dr. Sumeyra Ozturk, executive communication expert and founder of Speech & Mind, grounded in neuroscience and the psychology of persuasion.

Each round targets a specific element: how you project authority, signal confidence, and hold attention under pressure. You'll refine your delivery, identify your blind spots, and apply adjustments in real time, so your delivery becomes as strong as your ideas.

What you'll walk away with:
- A clear framework for pitches that land
- Techniques to communicate with authority and precision
- Tools to stay steady and in control under pressure
- What investors notice before your message even lands

Built for: Founders who are ready to understand exactly what's happening in the room; and how to shift it.

⚡ Due to the curated nature of this event, spots are limited. Register early to secure your place.

​📸 Photos and videos may be taken for promotional use.

About the Host | Dr. Sumeyra Ozturk helps executives and founders communicate with clarity, authority, and presence when the stakes are high. She holds a PhD in Psychology specializing in nonverbal communication and completed executive coaching training at Harvard. Her approach combines performance psychology and neuroscience to help leaders think clearly, communicate with precision, and stay composed under pressure. 
🌐 speechandmind.com

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com"
