calendar,techweek_id,calendar_block_id,partiful_id,rerank_id,entry_type,status,category,start,end,actual_start,actual_end,title,location,venue_query,venue_precision,route_mode,travel_minutes,route_details,subway_segments,transit_risk,note,sales_coaching,rank,tier,opportunity_score,event_url,google_maps_url
reference,TW-5962,TW-5962-REFERENCE,09a0qPKv0cSOIOSGxjTQ,5962,event,registered,backup,2026-06-01 18:00,2026-06-01 21:00,2026-06-01 18:00,2026-06-01 21:00,[REG BACKUP] Software for Hardware: The Tools Powering Robotics & Embodied AI,"Civic Hall, 124 E 14th St 2nd Floor, New York, NY","Civic Hall, 124 E 14th St, New York, NY 10003",exact_from_event_page,,,,,,Partiful registered only. Secondary Luma checkout is $20 and was explicitly skipped. Partiful registered; skip paid Luma checkout Submitted via Partiful API; rsvpStatus=GOING; count=1; plusOne=none. Secondary Luma link requires $20 paid ticket; user explicitly said do not complete checkout.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Hardware and robotics teams have heavy coordination work before code ships.
Ask: How do you credit specs, integration debugging, reviews, and ops work across hardware/software boundaries?
Listen for: Systems integration, test evidence, field debugging, cross-discipline ownership.
Follow-up: Ask for founder/operator feedback rather than pushing a pure software-team sale.",13,S,86,https://partiful.com/e/09a0qPKv0cSOIOSGxjTQ,https://www.google.com/maps/search/?api=1&query=Civic+Hall%2C+124+E+14th+St%2C+New+York%2C+NY+10003
schedule,TW-5978,TW-5978-SCHEDULE,OF1vP5L8dtXKRtInyWKs,5978,event,registered,primary,2026-06-01 18:00,2026-06-01 21:00,2026-06-01 18:00,2026-06-01 21:00,[REG] Open Source Must Win,Lower East Side,"Delancey St Essex St, New York, NY",approx_neighborhood_hidden,,,,,,"If this is not approved, use registered backup NYC B2B at Skinos instead. On the list; monitor for updates Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=2; plusOne=TBD; approved 2026-05-10 11:16 ET.","Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Open-source rooms should hear the maintainer-labor angle first.
Ask: How do you credit review, triage, specs, and maintainer work that never becomes a commit?
Listen for: Contributor rewards, bounty systems, maintainer burnout, attribution disputes.
Follow-up: Ask for intros to maintainers, DevRel leads, or teams running contributor programs.",37,A,64,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds,https://www.google.com/maps/search/?api=1&query=Delancey+St+Essex+St%2C+New+York%2C+NY
reference,TW-4200,TW-4200-REFERENCE,oQvmxTsHOVayx47ok3li,4200,event,registered,backup,2026-06-01 18:30,2026-06-01 20:00,2026-06-01 18:30,2026-06-01 20:00,[REG BACKUP] NYC B2B: AI Founders & Investors Mixer,"Skinos, 123 Washington St, New York, NY","Skinos, 123 Washington St, New York, NY",exact_from_signup_status,,,,,,Registered backup near FiDi. Use if Open Source Must Win is not approved or is too low signal in practice. Registered; monitor for updates Submitted via Partiful API; rsvpStatus=GOING; count=2; plusOne=TBD.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: This is broad B2B. Keep the pitch short and qualify fast.
Ask: Does your engineering team use GitHub and Slack heavily enough that contribution visibility is a management problem?
Listen for: Founder with 5+ engineers, remote team, AI coding adoption, performance-review pain.
Follow-up: Ask for a warm intro to the CTO or VP Eng if the person is not the buyer.",169,B,54,https://partiful.com/e/oQvmxTsHOVayx47ok3li?c=0hT1WkMm,https://www.google.com/maps/search/?api=1&query=Skinos%2C+123+Washington+St%2C+New+York%2C+NY
schedule,,TW-20260601-MEAL-DINNER,,,meal,registered,meal,2026-06-01 21:00,2026-06-01 22:00,2026-06-01 21:00,2026-06-01 22:00,Meal: Dinner after Open Source Must Win,Lower East Side,Lower East Side,meal_buffer,,,,,,One-hour meal buffer before heading home.,,,,,,https://www.google.com/maps/search/?api=1&query=Lower+East+Side%2C+New+York%2C+NY
schedule,TW-5978,TW-20260601-TRAVEL-HOME,OF1vP5L8dtXKRtInyWKs,,travel,registered,travel,2026-06-01 22:00,2026-06-01 22:30,2026-06-01 22:00,2026-06-01 22:30,"Travel: Open Source Must Win -> 15 Cliff Street, New York, NY 10038","Open Source Must Win -> 15 Cliff Street, New York, NY 10038","Open Source Must Win -> 15 Cliff Street, New York, NY 10038",,walk,30,Walk approx 30 min / 2327 m using OSM-geocoded points.,,,,,,,,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds,https://www.google.com/maps/dir/?api=1&origin=40.718618%2C-73.988136&destination=40.7084297%2C-74.0056635&travelmode=walking
schedule,,TW-20260602-SLEEP,,,sleep,registered,sleep,2026-06-02 02:43,2026-06-02 10:43,2026-06-02 02:43,2026-06-02 10:43,Sleep: 8 hours,"15 Cliff Street, New York, NY 10038","15 Cliff Street, New York, NY 10038",sleep_buffer,,,,,,Staggered late sleep block; wake leaves 30 minutes before the first travel block.,,,,,,https://www.google.com/maps/search/?api=1&query=15+Cliff+Street%2C+New+York%2C+NY+10038
schedule,TW-4551,TW-4551-TRAVEL-IN,M7pXmV8sOXT11yHb9pKw,,travel,registered,travel,2026-06-02 11:12,2026-06-02 12:00,2026-06-02 11:12,2026-06-02 12:00,"Travel: 15 Cliff Street, New York, NY 10038 -> How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing","15 Cliff Street, New York, NY 10038 -> 10 East Eighth Street, Ground Floor, New York, NY 10003","15 Cliff Street, New York, NY 10038 -> 10 East Eighth Street, Ground Floor, New York, NY 10003",,subway+walk,48,Walk 3 min to Fulton St (2/3); subway 38 min; walk 2 min from 42 St-Bryant Pk (B/D/F/M); includes 5 min buffer.,2 Fulton St to Times Sq-42 St; R Times Sq-42 St to 46 St; F 46 St to 42 St-Bryant Pk,Minor delays possible,,,,,,https://partiful.com/e/M7pXmV8sOXT11yHb9pKw,https://www.google.com/maps/dir/?api=1&origin=40.7084297%2C-74.0056635&destination=40.753751%2C-73.983543&travelmode=transit
schedule,TW-4551,TW-4551-SCHEDULE,M7pXmV8sOXT11yHb9pKw,4551,event,registered,primary,2026-06-02 12:00,2026-06-02 13:45,2026-06-02 12:00,2026-06-02 13:45,[REG] How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing,"10 East Eighth Street, Ground Floor, New York, NY 10003","Bryant Park, New York, NY",approx_neighborhood_hidden,,,,,,On the list; monitor for updates Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=1; plusOne=none; approved 2026-05-11 10:21 ET.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Use enterprise SDLC language: trustworthy artifacts, change control, and evidence trails.
Ask: Which engineering artifacts stay reliable when AI changes how teams plan, review, and ship?
Listen for: Auditability, manager reports, PR review evidence, specs scattered across tools.
Follow-up: Ask to compare their SDLC reporting process with an Accolades evidence report.",33,A,68,https://partiful.com/e/M7pXmV8sOXT11yHb9pKw,https://www.google.com/maps/search/?api=1&query=Bryant+Park%2C+New+York%2C+NY
schedule,,TW-20260602-MEAL-LUNCH,,,meal,registered,meal,2026-06-02 13:45,2026-06-02 14:45,2026-06-02 13:45,2026-06-02 14:45,Meal: Lunch / reset,Midtown,Midtown,meal_buffer,,,,,,One-hour break after the Enterprise SDLC session.,,,,,,https://www.google.com/maps/search/?api=1&query=Midtown+Manhattan%2C+New+York%2C+NY
schedule,TW-4341,TW-4341-TRAVEL-IN,bn5h1g13xzOV6R5XkLaE,,travel,registered,travel,2026-06-02 15:29,2026-06-02 16:00,2026-06-02 15:29,2026-06-02 16:00,Travel: How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing -> From Copilot to Control Plane - Visdom,"How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing -> Chabad Loft's Kavanah Space in Greenwich Village, 10 E 8th St, New York, NY 10003","How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing -> Chabad Loft's Kavanah Space in Greenwich Village, 10 E 8th St, New York, NY 10003",,subway+walk,31,Walk 2 min to 42 St-Bryant Pk (B/D/F/M); subway 19 min; walk 5 min from 8 St-NYU (N/Q/R/W); includes 5 min buffer.,B 42 St-Bryant Pk to DeKalb Av; Q DeKalb Av to 8 St-NYU,Normal service,,,,,,https://partiful.com/e/bn5h1g13xzOV6R5XkLaE,https://www.google.com/maps/dir/?api=1&origin=40.753751%2C-73.983543&destination=40.7317609%2C-73.9957287&travelmode=transit
reference,TW-4522,TW-4522-REFERENCE,5vHvRPI0VlMQwOmQadCN,4522,event,waitlisted,backup,2026-06-02 16:00,2026-06-02 19:00,2026-06-02 16:00,2026-06-02 19:00,[WAITLIST BACKUP] Operating MCP,"159 W 25th St 3rd Floor, New York, NY","Bryant Park, New York, NY",approx_freeform_hidden,,,,,,Monitor waitlist / host approval Submitted via Partiful API; rsvpStatus=WAITLIST; count=2; plusOne=TBD.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: For MCP/control-plane conversations, talk about instrumenting context and actions.
Ask: What needs to be logged so a manager can understand who influenced an agent-driven outcome?
Listen for: Context sources, tool permissions, traceability, review responsibility, platform ownership.
Follow-up: Ask to compare notes with anyone building internal agent infrastructure.",7,S,98,https://partiful.com/e/5vHvRPI0VlMQwOmQadCN,https://www.google.com/maps/search/?api=1&query=Bryant+Park%2C+New+York%2C+NY
schedule,TW-4341,TW-4341-SCHEDULE,bn5h1g13xzOV6R5XkLaE,4341,event,applied,primary,2026-06-02 16:00,2026-06-02 17:30,2026-06-02 16:00,2026-06-02 17:30,[PENDING] From Copilot to Control Plane - Visdom,"Chabad Loft's Kavanah Space in Greenwich Village, 10 E 8th St, New York, NY 10003","Chabad Loft's Kavanah Space in Greenwich Village, 10 E 8th St, New York, NY 10003",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: This is the highest-priority CTO/platform room. Lead with the control-plane problem.
Ask: What should managers measure once copilots are part of every development workflow?
Listen for: CTO/VP Eng pain, platform ownership, productivity reporting, GitHub/code review evidence.
Follow-up: Push for a concrete post-Tech Week call if they own DevEx, platform, or engineering metrics.",1,S,100,https://partiful.com/e/bn5h1g13xzOV6R5XkLaE,https://www.google.com/maps/search/?api=1&query=Chabad+Loft%27s+Kavanah+Space+in+Greenwich+Village%2C+10+E+8th+St%2C+New+York%2C+NY+10003
reference,TW-4224,TW-4224-REFERENCE,XqIBMZmB4oubCZWFP2Sl,4224,event,applied,backup,2026-06-02 17:30,2026-06-02 19:30,2026-06-02 17:30,2026-06-02 19:30,[PENDING BACKUP] WorkOS + Postman Agents & APIs Demo Night,"56 Greene Street, 4th Floor New York, NY 10012","56 Greene Street, 4th Floor New York, NY 10012",exact_from_partiful_freeform,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: API and identity demos are a good opening for permissions plus evidence.
Ask: When agents call internal APIs, how do you audit who requested, reviewed, and approved the work?
Listen for: API governance, permissions, review evidence, enterprise buyers, workflow logs.
Follow-up: Ask for intros to teams responsible for developer platform or internal API governance.",217,B,51,https://partiful.com/e/XqIBMZmB4oubCZWFP2Sl,https://www.google.com/maps/search/?api=1&query=56+Greene+Street%2C+4th+Floor+New+York%2C+NY+10012
reference,TW-6393,TW-6393-REFERENCE,hl2AIeWhZ1e2t6LveEGw,6393,event,registered,latest-added,2026-06-02 17:30,2026-06-02 19:00,2026-06-02 17:30,2026-06-02 19:00,[REG ADDED] AI on Main Street: How Chinatown's Small Businesses Are Using AI,"115 Bowery Ground Floor, New York, NY","Chinatown, Manhattan, NY",approx_from_calendar_location,,,,,,Registered; monitor for updates Submitted via Partiful API; linkedPlusOneFailures=0. rsvpStatus=GOING; count=2; plusOne=TBD.,,added-11,B,51,https://partiful.com/e/hl2AIeWhZ1e2t6LveEGw,https://www.google.com/maps/search/?api=1&query=Chinatown%2C+Manhattan%2C+NY
reference,TW-5415,TW-5415-REFERENCE,UBrZopzqpRwbn6Qk0npO,5415,event,registered,backup,2026-06-02 17:30,2026-06-02 19:30,2026-06-02 17:30,2026-06-02 19:30,"[REG BACKUP] AI, Algorithms & Liability: What Tech Leaders & Creators Need to Know","One Battery Park Plaza, 7th Floor New York, NY 10004","One Battery Park Plaza, 7th Floor New York, NY 10004",exact_from_partiful_freeform,,,,,,On the list; monitor for updates Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=1; plusOne=none; approved 2026-05-11 18:49 ET.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Use liability language carefully: evidence, review, and accountability.
Ask: If AI-assisted work causes a problem, what evidence would you want before assigning responsibility?
Listen for: Audit trails, legal/compliance sensitivity, review records, decision provenance.
Follow-up: Ask if source-linked engineering evidence would be useful for compliance conversations.",72,B,58,https://partiful.com/e/UBrZopzqpRwbn6Qk0npO?c=4IfpVNvT,https://www.google.com/maps/search/?api=1&query=One+Battery+Park+Plaza%2C+7th+Floor+New+York%2C+NY+10004
schedule,TW-4161,TW-4161-TRAVEL-IN,7DYGSiY1WUuRSvEnD5gp,,travel,registered,travel,2026-06-02 17:44,2026-06-02 18:00,2026-06-02 17:44,2026-06-02 18:00,Travel: From Copilot to Control Plane - Visdom -> Future of DevEx,"From Copilot to Control Plane - Visdom -> SoHo, Manhattan, New York, NY","From Copilot to Control Plane - Visdom -> SoHo, Manhattan, New York, NY",,walk,16,Walk approx 16 min / 1275 m using OSM-geocoded points.,,,,,,,,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9,https://www.google.com/maps/dir/?api=1&origin=40.7317609%2C-73.9957287&destination=40.72288%2C-73.9987505&travelmode=walking
reference,TW-6629,TW-6629-REFERENCE,Vs2eC7nERtgF0PgNWfUo,6629,event,applied,latest-added,2026-06-02 18:00,2026-06-02 19:30,2026-06-02 18:00,2026-06-02 19:30,[PENDING ADDED] Founders x Investors AI Toolkit & Happy Hour,"City Hall Area, New York, NY","Bryant Park, New York, NY",approx_from_calendar_location,,,,,,Wait for host approval Submitted via Partiful API; linkedPlusOneFailures=0. rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,,added-7,B,54,https://partiful.com/e/Vs2eC7nERtgF0PgNWfUo,https://www.google.com/maps/search/?api=1&query=Bryant+Park%2C+New+York%2C+NY
reference,TW-5437,TW-5437-REFERENCE,FSzOO6xPn11iqxVdtQ9j,5437,event,applied,apply,2026-06-02 18:00,2026-06-02 19:30,2026-06-02 18:00,2026-06-02 19:30,[PENDING CURATED] Enterprise AI Happy Hour,SoHo,Soho,approx_freeform,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Enterprise AI buyers care about governance and platform ownership.
Ask: Where do manager reports and audit evidence fit into your enterprise AI rollout?
Listen for: Governance, internal platforms, production agents, executive reporting, risk controls.
Follow-up: Ask for a specific post-event call with the platform, DevEx, or AI governance owner.",2,S,100,https://partiful.com/e/FSzOO6xPn11iqxVdtQ9j?,https://www.google.com/maps/search/?api=1&query=Soho
reference,TW-5925,TW-5925-REFERENCE,jytNb4IdG0HxwJnqDSgf,5925,event,registered,backup,2026-06-02 18:00,2026-06-02 20:00,2026-06-02 18:00,2026-06-02 20:00,[REG BACKUP] Cloudflare + Shopify: Build for the Agent Era,"Shopify New York, 131 Greene St, New York, NY 10012","Shopify New York, 131 Greene St, New York, NY 10012",exact_from_signup_status,,,,,,On the list; monitor for updates Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=1; plusOne=none; approved 2026-05-12 12:57 ET.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Use infrastructure scale as the bridge into contribution evidence.
Ask: In the agent era, what evidence do infra teams need to trust work done across tools and systems?
Listen for: Platform scale, agent infrastructure, toolchain visibility, engineering productivity.
Follow-up: Ask for technical feedback from infra leaders rather than a generic founder follow-up.",23,S,75,https://partiful.com/e/jytNb4IdG0HxwJnqDSgf,https://www.google.com/maps/search/?api=1&query=Shopify+New+York%2C+131+Greene+St%2C+New+York%2C+NY+10012
schedule,TW-4161,TW-4161-SCHEDULE,7DYGSiY1WUuRSvEnD5gp,4161,event,applied,primary,2026-06-02 18:00,2026-06-02 21:00,2026-06-02 18:00,2026-06-02 21:00,[PENDING] Future of DevEx,"SoHo, Manhattan, New York, NY","SoHo, Manhattan, New York, NY",approx_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Use DevEx language and avoid sounding like HR analytics.
Ask: Where does DevEx stop being tooling and start being contribution evidence?
Listen for: Internal developer platforms, friction measurement, review quality, invisible glue work.
Follow-up: Ask who owns DevEx metrics and whether source-linked contribution evidence would help.",3,S,100,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9,https://www.google.com/maps/search/?api=1&query=SoHo%2C+Manhattan%2C+New+York%2C+NY
schedule,,TW-20260602-MEAL-DINNER,,,meal,registered,meal,2026-06-02 21:00,2026-06-02 22:00,2026-06-02 21:00,2026-06-02 22:00,Meal: Dinner after Future of DevEx,SoHo,SoHo,meal_buffer,,,,,,One-hour meal buffer before heading home.,,,,,,https://www.google.com/maps/search/?api=1&query=SoHo%2C+New+York%2C+NY
schedule,TW-4161,TW-20260602-TRAVEL-HOME,7DYGSiY1WUuRSvEnD5gp,,travel,registered,travel,2026-06-02 22:00,2026-06-02 22:19,2026-06-02 22:00,2026-06-02 22:19,"Travel: Future of DevEx -> 15 Cliff Street, New York, NY 10038","Future of DevEx -> 15 Cliff Street, New York, NY 10038","Future of DevEx -> 15 Cliff Street, New York, NY 10038",,subway+walk,19,Walk 3 min to Spring St (4/6); subway 8 min; walk 3 min from Fulton St (2/3); includes 5 min buffer.,4 Spring St to Fulton St,Minor delays possible,,,,,,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9,https://www.google.com/maps/dir/?api=1&origin=40.72288%2C-73.9987505&destination=40.7084297%2C-74.0056635&travelmode=transit
schedule,,TW-20260603-SLEEP,,,sleep,registered,sleep,2026-06-03 02:45,2026-06-03 10:45,2026-06-03 02:45,2026-06-03 10:45,Sleep: 8 hours,"15 Cliff Street, New York, NY 10038","15 Cliff Street, New York, NY 10038",sleep_buffer,,,,,,Staggered late sleep block; wake lands on the quick breakfast/lunch block.,,,,,,https://www.google.com/maps/search/?api=1&query=15+Cliff+Street%2C+New+York%2C+NY+10038
schedule,,TW-20260603-MEAL-LUNCH,,,meal,registered,meal,2026-06-03 10:45,2026-06-03 11:15,2026-06-03 10:45,2026-06-03 11:15,Meal: Quick breakfast / lunch before dense Wednesday,"15 Cliff Street, New York, NY 10038","15 Cliff Street, New York, NY 10038",meal_buffer,,,,,,Hectic-day 30-minute food buffer before the midday run starts.,,,,,,https://www.google.com/maps/search/?api=1&query=15+Cliff+Street%2C+New+York%2C+NY+10038
