entry_type,bucket,start,end,title,location,event_id,rank,tier,opportunity_score,venue_precision,venue_query,route_mode,travel_minutes,route_details,subway_segments,transit_risk,note,event_url,fit_summary
event,backup,2026-06-02 16:00,2026-06-02 19:00,Operating MCP,Midtown,4522,7,S,98,approx_neighborhood_hidden,"Bryant Park, New York, NY",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"Excellent enterprise AI control-plane audience, but conflicts with Visdom.",https://partiful.com/e/5vHvRPI0VlMQwOmQadCN,"buyer: CTO audience; product: AI coding workflows; topic: devtools, infra/platform, AI; signal: builders/operators, founders"
event,primary,2026-06-02 16:00,2026-06-02 17:30,From Copilot to Control Plane - Visdom,Midtown,4341,1,S,100,approx_neighborhood_hidden,"Bryant Park, New York, NY",,,,,,"Most explicit buyer fit: CTOs, VPs Engineering, Heads of Platform, senior engineers, developer productivity, AI adoption.",https://partiful.com/e/bn5h1g13xzOV6R5XkLaE,"buyer: CTO audience, VP engineering audience, platform leadership; product: GitHub/code review evidence, manager/audit reporting, engineering productivity; topic: devtools, infra/platform, AI"
travel,primary,2026-06-02 17:36,2026-06-02 18:00,Travel to Future of DevEx,From Copilot to Control Plane - Visdom -> SoHo,4161,3,S,100,approx_neighborhood_hidden,"Spring St and Broadway, New York, NY",subway+walk,24,Walk 2 min to 42 St-Bryant Pk (B/D/F/M); subway 17 min; walk 0 min from Prince St (N/Q/R/W); includes 5 min buffer.,B 42 St-Bryant Pk to DeKalb Av; Q DeKalb Av to Prince St,Minor delays possible,,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9,
event,apply,2026-06-02 18:00,2026-06-02 19:30,Enterprise AI Happy Hour,SoHo,5437,2,S,100,approx_neighborhood_hidden,"Spring St and Broadway, New York, NY",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"High buyer fit around enterprise AI governance, internal platforms, and production agents; conflicts with Future of DevEx.",https://partiful.com/e/FSzOO6xPn11iqxVdtQ9j?,"buyer: platform leadership; product: manager/audit reporting, specs/knowledge capture; topic: infra/platform, AI, enterprise; signal: curated room, networking format"
event,backup,2026-06-02 18:00,2026-06-02 20:00,Cloudflare + Shopify: Build for the Agent Era,SoHo,5925,23,S,75,exact_from_partiful_maps,"Shopify New York, 131 Greene St, New York, NY 10012",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"Good infra-brand density, but Future of DevEx is more directly aligned.",https://partiful.com/e/jytNb4IdG0HxwJnqDSgf,"buyer: software builders, executives; topic: infra/platform, AI; signal: high-signal format, builders/operators"
event,primary,2026-06-02 18:00,2026-06-02 21:00,Future of DevEx,SoHo,4161,3,S,100,approx_neighborhood_hidden,"Spring St and Broadway, New York, NY",,,,,,"Anchor event for engineers, technical leads, and founders discussing how teams write, review, ship, and maintain code.",https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9,"buyer: DevEx, technical leads, technical founders; product: software work practices; topic: AI; signal: builders/operators, founders"
travel,primary,2026-06-02 21:00,2026-06-02 21:21,Travel home,"Future of DevEx -> 15 Cliff Street, New York, NY 10038",,,,,exact_home_base,"15 Cliff Street, New York, NY 10038",subway+walk,21,Walk 0 min to Prince St (N/Q/R/W); subway 13 min; walk 3 min from Fulton St (2/3); includes 5 min buffer.,N Prince St to Canal St; 4 Canal St to Fulton St,Minor delays possible,,,
travel,primary,2026-06-03 11:28,2026-06-03 12:00,Travel to Building secure AI for your data: DeepFellow Demo + Q&A,"15 Cliff Street, New York, NY 10038 -> Chelsea",5889,16,S,80,approx_neighborhood_hidden,"23rd Street and 8th Avenue, New York, NY",subway+walk,32,Walk 3 min to Fulton St (2/3); subway 20 min; walk 4 min from 23 St (A/C/E); includes 5 min buffer.,2 Fulton St to 23 St,Minor delays possible,,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN,
event,primary,2026-06-03 12:00,2026-06-03 13:15,Building secure AI for your data: DeepFellow Demo + Q&A,Chelsea,5889,16,S,80,approx_neighborhood_hidden,"23rd Street and 8th Avenue, New York, NY",,,,,,Technical builder session; useful but skippable if you need a slower Wednesday start.,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN,"buyer: technical leads, software builders; product: manager/audit reporting; topic: devtools, infra/platform, AI"
event,apply,2026-06-03 13:30,2026-06-03 17:00,Anthropic Founder Salon: Inside the AI-Native Era,Chelsea,5820,9,S,94,approx_neighborhood_hidden,"23rd Street and 8th Avenue, New York, NY",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"Curated AI founder and leader room; if accepted, it replaces most Wednesday daytime open events.",https://partiful.com/e/titPml1Nw0DKwGl9B6CF,"buyer: CTO audience; product: contribution rewards; topic: AI; signal: curated room, high-signal format"
travel,primary,2026-06-03 13:35,2026-06-03 14:00,Travel to The Future of Coding Agents and IDE,Building secure AI for your data: DeepFellow Demo + Q&A -> Midtown,4444,27,A,72,exact_from_partiful_maps,"1155 6th Ave, New York, NY 10036",subway+walk,25,Walk 4 min to 23 St (A/C/E); subway 11 min; walk 5 min from Times Sq-42 St (GS); includes 5 min buffer.,A 23 St to 34 St-Penn Station; 1 34 St-Penn Station to Times Sq-42 St,Minor delays possible,,https://partiful.com/e/1N6CtiCpYquktoTh5NUm,
event,primary,2026-06-03 14:00,2026-06-03 15:00,The Future of Coding Agents and IDE,Midtown,4444,27,A,72,exact_from_partiful_maps,"1155 6th Ave, New York, NY 10036",,,,,,Coding agents and IDEs are close to the GitHub/work-evidence wedge.,https://partiful.com/e/1N6CtiCpYquktoTh5NUm,"buyer: software builders; product: engineering workflows, AI coding workflows; topic: AI; signal: builders/operators, founders"
travel,primary,2026-06-03 15:40,2026-06-03 16:00,Travel to Fireside chat - When coding agents are the user?,The Future of Coding Agents and IDE -> Nomad,5529,15,S,81,approx_neighborhood_hidden,"28th Street and Broadway, New York, NY",walk,20,Walk approx 20 min / 1595 m using OSM-geocoded points.,,,,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,
event,apply,2026-06-03 16:00,2026-06-03 21:00,Agent Harnesses: What It Takes to Make AI Agents Work in the Enterprise,Union Square,4719,8,S,97,exact_from_partiful_maps,"Union Square W, New York, NY 10003",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,Excellent enterprise-agent reliability/control event in Union Square.,https://partiful.com/e/2NP0rZW8BmdGAGUOEhGP?f=1,"buyer: engineering leaders; product: engineering productivity; topic: infra/platform, AI, enterprise; signal: builders/operators, founders"
event,primary,2026-06-03 16:00,2026-06-03 17:15,Fireside chat - When coding agents are the user?,Nomad,5529,15,S,81,approx_neighborhood_hidden,"28th Street and Broadway, New York, NY",,,,,,"Strong product-fit topic around LLM users, tool schemas, docs, guardrails, and engineering knowledge.",https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,"product: AI coding workflows, specs/knowledge capture; topic: infra/platform, AI; signal: high-signal format, founders"
event,apply,2026-06-03 17:30,2026-06-03 19:30,The CTO Mixer: Humanizing Tech | Happy Hour,East Village,4778,6,S,100,approx_neighborhood_hidden,"Astor Place, New York, NY",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,Best explicit CTO / VP Engineering room; prioritize over most Wednesday evening open events if accepted.,https://partiful.com/e/h1hGv0PkskcagJOv5M9K,"buyer: CTO audience, VP engineering audience, engineering leaders; topic: AI; signal: curated room, builders/operators"
event,backup,2026-06-03 17:30,2026-06-03 19:30,Camp AI: Agents at Work,Midtown,5693,19,S,78,exact_from_partiful_maps,"Datadog - Headquarters, 620 Eighth Ave,, New York, NY 10018",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"Strong brands and possible VP Eng density, but Midtown conflicts with the downtown MCP route.",https://partiful.com/e/Fp5STyPH0McEt0awlWFD,"buyer: VP engineering audience, software builders; topic: AI; signal: high-signal format, builders/operators"
travel,primary,2026-06-03 17:40,2026-06-03 18:00,Travel to MCP in the Wild: Panel & Night of Networking,Fireside chat - When coding agents are the user? -> East Village,4664,58,A,63,approx_neighborhood_hidden,"Astor Place, New York, NY",subway+walk,20,Walk 1 min to 28 St (N/Q/R/W); subway 13 min; walk 1 min from Astor Pl (4/6); includes 5 min buffer.,N 28 St to 14 St-Union Sq; 4 14 St-Union Sq to Astor Pl,Minor delays possible,,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2,
event,primary,2026-06-03 18:00,2026-06-03 20:30,MCP in the Wild: Panel & Night of Networking,East Village,4664,58,A,63,approx_neighborhood_hidden,"Astor Place, New York, NY",,,,,,Convenient NoHo/East Village follow-on with MCP ecosystem leaders.,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2,"product: AI coding workflows; topic: AI; signal: builders/operators, founders"
event,apply,2026-06-03 19:00,2026-06-03 21:00,The Tech Leaders Suite,Brooklyn,4197,5,S,100,approx_neighborhood_hidden,"Barclays Center, Brooklyn, NY",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"High executive tech density, but Brooklyn adds friction after a crowded Wednesday.",https://partiful.com/e/UhyErPPxuo2vELIutdGj?,"buyer: CTO audience, technical leaders, executives; topic: infra/platform, AI, enterprise; signal: curated room, private/invite"
travel,primary,2026-06-03 20:30,2026-06-03 20:51,Travel home,"MCP in the Wild: Panel & Night of Networking -> 15 Cliff Street, New York, NY 10038",,,,,exact_home_base,"15 Cliff Street, New York, NY 10038",subway+walk,21,Walk 1 min to Astor Pl (4/6); subway 12 min; walk 3 min from Fulton St (2/3); includes 5 min buffer.,4 Astor Pl to Fulton St,Minor delays possible,,,
travel,primary,2026-06-04 15:35,2026-06-04 16:00,Travel to Shipping Faster with AI Coding Agents: What's Working and What's Not,"15 Cliff Street, New York, NY 10038 -> SoHo",5372,4,S,100,approx_neighborhood_hidden,"Spring St and Broadway, New York, NY",subway+walk,25,Walk 3 min to Fulton St (2/3); subway 17 min; walk 0 min from Prince St (N/Q/R/W); includes 5 min buffer.,2 Fulton St to Canal St; Q Canal St to Prince St,Minor delays possible,,https://partiful.com/e/5K5c4eODrGPKME7or20H,
event,primary,2026-06-04 16:00,2026-06-04 19:00,Shipping Faster with AI Coding Agents: What's Working and What's Not,SoHo,5372,4,S,100,approx_neighborhood_hidden,"Spring St and Broadway, New York, NY",,,,,,Must-attend: engineering leaders and operators discussing agentic development process.,https://partiful.com/e/5K5c4eODrGPKME7or20H,"buyer: CTO audience, engineering leaders; product: engineering productivity, engineering workflows, AI coding workflows; topic: AI; signal: builders/operators, founders"
event,backup,2026-06-04 18:00,2026-06-04 20:00,Agents at Scale,SoHo,4191,10,S,93,approx_neighborhood_hidden,"Spring St and Broadway, New York, NY",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"Strong event, but it overlaps the higher-priority Shipping Faster panel.",https://partiful.com/e/6BlGFmwIdpyndqyLYS2v?c=bv5YqCoL,"buyer: technical leads, software builders, technical founders; topic: devtools, infra/platform, AI; signal: builders/operators, founders"
event,apply,2026-06-04 18:30,2026-06-04 21:30,Engineering Leaders After Hours: A Build and Ship Cocktail Competition,Midtown,4183,20,S,78,exact_from_partiful_maps,"Bar Chef, 21 W 35th St,, New York, NY 10001",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,Private engineering/platform/security leader room; excellent direct-buyer fit.,https://partiful.com/e/bETmU06uq4TtORng6I1l,"buyer: engineering leaders; topic: infra/platform, enterprise; signal: private/invite, builders/operators"
event,apply,2026-06-04 19:00,2026-06-04 20:45,Stop Making AI Guess: When Your Codebase Becomes the Spec,Union Square,5114,21,S,76,approx_neighborhood_hidden,"Union Square, Manhattan, New York, NY",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,Codebase-as-spec topic is highly aligned; conflicts with Thursday dinner paths.,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm,"buyer: software builders; product: AI coding workflows, specs/knowledge capture; topic: AI, enterprise; signal: founders"
event,apply,2026-06-04 19:00,2026-06-04 21:00,AI BUILDERS DINNER,Flatiron,5231,11,S,90,approx_neighborhood_hidden,"23rd Street and Broadway, New York, NY",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"Small off-record dinner with engineering/product leaders, operators, and AI infrastructure founders.",https://partiful.com/e/idltitmjA4ZzL9IuK0Y6,"buyer: engineering/product leaders; topic: infra/platform, AI; signal: high-signal format, builders/operators"
travel,primary,2026-06-04 19:00,2026-06-04 19:21,Travel home,"Shipping Faster with AI Coding Agents: What's Working and What's Not -> 15 Cliff Street, New York, NY 10038",,,,,exact_home_base,"15 Cliff Street, New York, NY 10038",subway+walk,21,Walk 0 min to Prince St (N/Q/R/W); subway 13 min; walk 3 min from Fulton St (2/3); includes 5 min buffer.,N Prince St to Canal St; 4 Canal St to Fulton St,Minor delays possible,,,
event,backup,2026-06-04 20:00,2026-06-04 21:30,"Free Phos, Real Convos. Agents in your DMs",Flatiron,5207,18,S,79,exact_from_partiful_maps,"Pho Dragon Restaurant, 47 W 14th St, New York, NY 10011",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,Late casual founder/builder option if Thursday energy is still good and no curated dinner lands.,https://partiful.com/e/ed2EFWip0do9OuYmVPZI,"product: collaboration evidence; topic: devtools, infra/platform, AI; signal: builders/operators, founders"
travel,primary,2026-06-05 16:21,2026-06-05 17:00,Travel to Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration,"15 Cliff Street, New York, NY 10038 -> Union Square",5722,45,A,64,exact_from_partiful_maps,"Union Square Park, 201 Park Ave S, New York, NY 10003",subway+walk,39,Walk 3 min to Fulton St (2/3); subway 27 min; walk 4 min from 14 St-Union Sq (N/Q/R/W); includes 5 min buffer.,2 Fulton St to 23 St; N 23 St to 14 St-Union Sq,Minor delays possible,,https://partiful.com/e/jkjGahQgmH9PLIxjfTFt,
event,primary,2026-06-05 17:00,2026-06-05 20:00,Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration,Union Square,5722,45,A,64,exact_from_partiful_maps,"Union Square Park, 201 Park Ave S, New York, NY 10003",,,,,,One Friday event only: autonomous systems and agent orchestration in Union Square.,https://partiful.com/e/jkjGahQgmH9PLIxjfTFt,"product: open source fit; topic: devtools, infra/platform, AI; signal: builders/operators, networking format"
event,apply,2026-06-05 18:00,2026-06-05 21:00,YouCode AI Salon,Brooklyn,250,26,A,73,approx_neighborhood_hidden,"Barclays Center, Brooklyn, NY",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"Good technical AI salon, but Friday Brooklyn is a stretch after the main week.",https://partiful.com/e/kvGpuFMeACW7ZWPYtxTP,"buyer: technical founders; topic: infra/platform, AI; signal: curated room, high-signal format"
travel,primary,2026-06-05 20:00,2026-06-05 20:23,Travel home,"Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration -> 15 Cliff Street, New York, NY 10038",,,,,exact_home_base,"15 Cliff Street, New York, NY 10038",subway+walk,23,Walk 4 min to 14 St-Union Sq (N/Q/R/W); subway 11 min; walk 3 min from Fulton St (2/3); includes 5 min buffer.,N 14 St-Union Sq to 14 St-Union Sq; 5 14 St-Union Sq to Fulton St,Minor delays possible,,,
